show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,month_name_added,age_of_show,duration_value,movie_duration_min,tv_seasons
s6389,movie,bullitt_county,david_mccracken,"mike_c._nelson,_jenni_melear,_david_mccracken,_napoleon_ryan,_dorothy_lyman,_richard_riehle",united_states,2019-06-01,2018,tv-ma,98_min,"independent_movies,_thrillers","when_four_college_friends_reunite_for_a_bachelor_party,_their_hunt_for_cash_said_to_be_hidden_in_kentucky's_backwoods_leads_to_bloodshed_and_betrayal.",2019.0,6.0,june,1.0,98.0,98.0,
s6390,tv_show,"bure_kaam_bura_natija,_kyun_bhai_chacha_haan_bhatija",,,,2018-03-31,2017,tv-pg,1_season,kids'_tv,"a_clever_uncle-nephew_duo_solves_mysteries,_crimes_and_other_problems_for_the_citizens_of_a_colorful_town_where_something_zany_is_always_going_down.",2018.0,3.0,march,1.0,1.0,,1.0
s6391,movie,burlesque,steve_antin,"cher,_christina_aguilera,_alan_cumming,_eric_dane,_cam_gigandet,_julianne_hough,_peter_gallagher,_kristen_bell,_stanley_tucci,_dianna_agron",united_states,2019-12-16,2010,pg-13,119_min,"dramas,_romantic_movies","after_leaving_iowa_with_stars_in_her_eyes,_ali_arrives_at_a_los_angeles_burlesque_lounge_with_dreams_of_taking_the_stage_with_her_soaring_voice.",2019.0,12.0,december,9.0,119.0,119.0,
s6392,movie,burlesque:_heart_of_the_glitter_tribe,jon_manning,,united_states,2017-06-01,2017,tv-ma,76_min,documentaries,"this_revealing_documentary_probes_the_onstage_personas_of_portland,_oregon,_burlesque_performers_who_practice_wildly_different_art_forms.",2017.0,6.0,june,0.0,76.0,76.0,
s6393,movie,burning,lee_chang-dong,"yoo_ah-in,_steven_yeun,_jun_jong-seo,_kim_soo-kyung,_moon_sung-keun,_choi_seung-ho","south_korea,_japan",2019-04-29,2018,tv-ma,148_min,"dramas,_independent_movies,_international_movies",an_aspiring_writer_goes_to_the_airport_to_pick_up_a_high_school_friend_returning_from_a_trip_to_africa_but_is_disheartened_to_see_her_with_another_man.,2019.0,4.0,april,1.0,148.0,148.0,
s6394,tv_show,burnistoun,,"iain_connell,_robert_florence,_kirsty_strain,_richard_rankin,_allan_miller,_louise_stewart",united_kingdom,,2012,tv-ma,2_seasons,"british_tv_shows,_tv_comedies","this_sketch_series_focuses_on_the_eccentric_characters_in_a_small_scottish_town,_including_bumbling_cops,_""dj_jesus""_and_a_disgruntled_serial_killer.",,,,,2.0,,2.0
s6395,movie,bushwick,"cary_murnion,_jonathan_milott","dave_bautista,_brittany_snow,_angelic_zambrana,_jeremie_harris,_myra_lucretia_taylor,_arturo_castro,_christian_navarro",united_states,2017-11-24,2017,tv-ma,94_min,"action_&_adventure,_independent_movies","when_their_diverse_neighborhood_is_besieged_by_a_mysterious_militia,_a_grad_student_and_an_ex-marine_become_an_unlikely_team_in_a_battle_for_survival.",2017.0,11.0,november,0.0,94.0,94.0,
s6396,movie,butterfield_8,daniel_mann,"elizabeth_taylor,_laurence_harvey,_eddie_fisher,_dina_merrill,_mildred_dunnock,_betty_field,_jeffrey_lynn,_susan_oliver",united_states,2019-11-01,1960,tv-14,108_min,"classic_movies,_dramas,_romantic_movies","elizabeth_taylor_won_an_oscar_as_gloria_wandrous,_a_stylish_call_girl_who_yearns_to_go_straight,_especially_after_she_thinks_she's_found_mr._right.",2019.0,11.0,november,59.0,108.0,108.0,
s6397,movie,cézanne_et_moi,daniele_thompson,"guillaume_canet,_guillaume_gallienne,_alice_pol,_déborah_françois,_sabine_azéma,_freya_mavor,_isabelle_candelier,_laurent_stocker","belgium,_france",2017-09-07,2016,r,114_min,"dramas,_independent_movies,_international_movies","this_historical_drama_explores_the_long_and_often_volatile_friendship_of_painter_paul_cézanne_and_writer_émile_zola,_who_first_met_as_schoolboys.",2017.0,9.0,september,1.0,114.0,114.0,
s6398,movie,cabin_fever,travis_zariwny,"gage_golightly,_matthew_daddario,_samuel_davis,_nadine_crocker,_dustin_ingram,_randy_schulman",united_states,2019-06-06,2016,r,98_min,"horror_movies,_thrillers","as_a_flesh-eating_virus_rips_its_way_through_a_remote_woodland_cabin,_the_terrified_teens_vacationing_inside_wonder_who'll_fall_victim_next.",2019.0,6.0,june,3.0,98.0,98.0,
s6399,tv_show,cabins_in_the_wild_with_dick_strawbridge,,"dick_strawbridge,_william_hardie",united_kingdom,2018-09-15,2017,tv-pg,1_season,"british_tv_shows,_international_tv_shows,_reality_tv","engineer_dick_strawbridge_and_craftsman_will_hardie_tour_eight_unique_cabins_built_for_a_pop-up_hotel_in_wales,_and_construct_no._9_on_their_own.",2018.0,9.0,september,1.0,1.0,,1.0
s6400,movie,cahaya_dari_timur_beta_maluku,angga_dwimas_sasongko,"chicco_jerikho,_abdurrahman_arif,_jajang_c._noer,_ridho_hafiedz,_leo_maitimu,_shafira_umm,_glenn_fredly,_aufa_assagaf,_burhanuddin_ohorella,_bebeto_leutually",indonesia,2018-10-05,2014,tv-14,151_min,"dramas,_international_movies,_sports_movies","after_witnessing_a_child’s_death_during_a_violent_clash,_a_former_soccer_player_launches_a_youth_team_to_help_local_kids_avoid_further_bloodshed.",2018.0,10.0,october,4.0,151.0,151.0,
s6401,movie,caida_del_cielo,néstor_sánchez_sotelo,"muriel_santa_ana,_peto_menahem,_héctor_díaz,_sebastián_wainraich,_karina_k.,_hernán_jiménez,_fabián_forte,_verónica_intile",argentina,2017-01-20,2016,tv-ma,78_min,"comedies,_international_movies,_romantic_movies","when_julia_literally_falls_into_alejandro's_backyard_from_her_apartment_above,_it's_just_the_jolt_that's_needed_to_nudge_these_two_loners_together.",2017.0,1.0,january,1.0,78.0,78.0,
s6402,tv_show,cain_and_abel,,"so_ji-sub,_shin_hyun-joon,_chae_jung-an,_han_ji-min,_kim_hae-suk,_you-mi_ha,_yong_jang,_kwon_hae-hyo",south_korea,2019-03-12,2009,tv-ma,1_season,"international_tv_shows,_korean_tv_shows,_romantic_tv_shows",gifted_doctor_cho-in_leads_a_charmed_life_while_his_older_brother_seon-woo_seethes_with_jealousy_in_this_series_inspired_by_biblical_characters.,2019.0,3.0,march,10.0,1.0,,1.0
s6403,movie,cake,asim_abbasi,"aamina_sheikh,_sanam_saeed,_adnan_malik,_mohammad_ahmad,_beo_rana_zafar,_faris_khalid,_hira_hussain,_mikaal_zulfiqar","united_kingdom,_pakistan",2019-05-15,2018,tv-ma,125_min,"comedies,_dramas,_international_movies","when_their_aging_father’s_illness_reunites_two_sisters_under_one_roof,_new_tensions_arise_between_them_as_old_wounds_and_hidden_secrets_surface.",2019.0,5.0,may,1.0,125.0,125.0,
s6404,movie,calendar_girls,madhur_bhandarkar,"akanksha_puri,_avani_modi,_kyra_dutt,_ruhi_singh,_satarupa_pyne,_mita_vashisht,_keith_sequeira,_deepak_wadhwa,_indraneil_sengupta,_vikram_sakhalkar",india,2017-10-15,2015,tv-14,126_min,"dramas,_international_movies",five_calendar_models_try_to_navigate_the_twists_and_turns_thrown_in_their_path_by_the_seductive_and_ruthless_world_of_glamour.,2017.0,10.0,october,2.0,126.0,126.0,
s6405,tv_show,calico_critters,,"georgie_fuller,_jessica_hinds-mingo,_mayumi_kawai,_sarah_sumeray,_alix_macey,_jenna_sharpe",,2018-11-01,2018,tv-y,1_season,kids'_tv,the_adorable_residents_of_sylvanian_village_always_have_lots_of_fun_with_their_friends_and_families!,2018.0,11.0,november,0.0,1.0,,1.0
s6406,movie,calico_critters:_a_town_of_dreams,momoko_kamiya,,,2018-11-01,2017,tv-y,11_min,children_&_family_movies,freya_heads_into_town_with_her_mother_for_a_very_special_occasion:_a_dress_designed_by_her_sister_stella_is_going_to_be_in_a_fashion_show!,2018.0,11.0,november,1.0,11.0,11.0,
s6407,movie,calico_critters:_the_treasure_of_calico_village,momoko_kamiya,,,2018-11-01,2017,tv-y,22_min,children_&_family_movies,freya_and_her_friends_inspire_the_mayor_to_put_on_a_competition_at_the_fete_to_pick_the_loveliest_thing_in_sylvanian_village.,2018.0,11.0,november,1.0,22.0,22.0,
s6408,tv_show,call_me_francis,,"rodrigo_de_la_serna,_sergio_hernández,_mercedes_morán,_muriel_santa_ana,_alex_brendemühl,_maximilian_dirr,_andres_gil,_marco_di_tieri",italy,2016-12-16,2016,tv-14,1_season,"international_tv_shows,_spanish-language_tv_shows,_tv_dramas","on_his_path_to_becoming_pope_francis,_father_jorge_bergoglio_pursues_his_religious_vocation_in_a_country_ravaged_by_a_brutal_military_dictatorship.",2016.0,12.0,december,0.0,1.0,,1.0
s6409,tv_show,camelia_la_texana,carlos_bolado,"sara_maldonado,_erik_hayser,_andrés_palacios,_dagoberto_gama,_luis_ernesto_franco,_arcelia_ramírez,_eréndira_ibarra","mexico,_united_states",2017-02-01,2014,tv-14,1_season,"crime_tv_shows,_romantic_tv_shows,_spanish-language_tv_shows","inspired_by_the_famous_song_""contrabando_y_traición,""_camelia,_a_beautiful_girl_from_san_antonio,_kills_her_lover_and_becomes_a_legendary_drug_runner.",2017.0,2.0,february,3.0,1.0,,1.0
s6410,movie,camera_store,scott_marshall_smith,"john_larroquette,_john_rhys-davies,_paul_ben-victor,_david_james_elliott,_laura_silverman,_cheryl_ladd,_justin_lieberman,_maddie_mccormick",united_states,2017-08-20,2016,tv-ma,104_min,"comedies,_dramas","with_the_digital_revolution_just_around_the_corner,_the_employees_of_bibideaux_camera_store_strive_to_stay_relevant_amid_unstoppable_change.",2017.0,8.0,august,1.0,104.0,104.0,
